,City,HouseName,Lng,Lat,District,id,TotalPrice,Price,Floor,Square,FloorType,BuildingType,BuildingStructure,RenovationCondition,Elevator,ConstructionTime,BedRooms,LivingRooms,Kitchens,BathRooms
0,beijing,富力又一城B区,116.56893517753639,39.85275396508811,朝阳,101112779955,7950000.0,50579,High,157.18,Flat,Plate,Steel/Concrete,Hardcover,Yes,2008,3,2,1,2
1,beijing,白广路7号院,116.36368925665002,39.89035320741727,西城,101112823905,6350000.0,109805,Low,57.83,Flat,Plate,Mixed,Other,No,1984,2,1,1,1
2,beijing,莱茵河畔,116.47969750817518,39.80339725076028,亦庄开发区,101112557404,5850000.0,54072,Low,108.19,Flat,Plate,Steel/Concrete,Hardcover,Yes,2003,2,1,1,1
3,beijing,瑞海家园五区,116.34336617245337,39.78917167385806,大兴,101112573961,5090000.0,46379,First Floor ,109.75,Flat,Plate,Mixed,Hardcover,No,2004,3,1,1,1
4,beijing,合生世界村,116.55298001405147,39.74307440176669,通州,101111602994,2730000.0,30063,Middle,90.81,Flat,Plate,Steel/Concrete,Hardcover,Yes,2011,2,1,1,1
5,beijing,三环新城8号院,116.3140815924892,39.855146972902574,丰台,101107918650,6400000.0,62574,Middle,102.28,Flat,Plate & Tower,Steel/Concrete,Hardcover,Yes,2007,2,1,1,2
6,beijing,双裕花园西区,116.55538199315458,40.113313070667765,顺义,101112245982,3890000.0,41472,Middle,93.8,Flat,Plate,Mixed,Simplicity,No,1999,2,1,1,1
7,beijing,中粮祥云国际生活区,116.54354403331357,40.098554053570254,顺义,101110117141,4290000.0,51194,Low,83.8,Flat,Plate,Steel/Concrete,Hardcover,Yes,2013,2,1,1,1
8,beijing,长城国际,116.32356949528558,39.903923778112734,通州,101111723199,1980000.0,40808,Low,48.52,Flat,Tower,Steel/Concrete,Simplicity,Yes,2009,1,0,1,1
9,beijing,西府景园,116.2765031374125,39.88870114977185,丰台,101111350123,6980000.0,58464,Middle,119.39,Flat,Plate,Steel/Concrete,Simplicity,Yes,2004,3,2,1,2
10,beijing,翠谷玉景,116.25095838294746,39.923404814632946,石景山,101112794090,7200000.0,46882,Top ,153.58,Duplex,Plate,Steel/Concrete,Simplicity,No,2004,3,1,1,2
11,beijing,望京西园一区,116.48010893209874,40.010317093256624,朝阳,101112815987,6600000.0,57148,High,115.49,Duplex,Plate,Mixed,Hardcover,No,1997,3,2,1,2
12,beijing,北苑家园莲葩园,116.42803452100752,40.05103139505239,朝阳,101112453417,4850000.0,45319,Low,107.02,Flat,Tower,Steel/Concrete,Simplicity,Yes,2004,2,1,1,2
13,beijing,首开保利熙悦诚郡,116.43039571704051,39.82472309328116,大兴,101112801177,8360000.0,65023,Low,128.57,Flat,Plate,Steel/Concrete,Hardcover,Yes,2016,3,2,1,2
14,beijing,汇鸿家园,116.58869134112568,39.924842237240924,朝阳,101111311959,3900000.0,52639,Low,74.09,Flat,Plate & Tower,Steel/Concrete,Hardcover,Yes,2005,2,1,1,1
15,beijing,玉桥南里,116.68870867660664,39.89609298783278,通州,101112786462,3900000.0,35423,Top ,110.1,Flat,Plate,Mixed,Hardcover,No,1997,3,2,1,2
17,beijing,富贵园一区,116.43982397235102,39.90249719067785,东城,101112721044,21000000.0,133716,High,157.05,Duplex,Plate,Steel/Concrete,Simplicity,Yes,2004,4,2,1,2
18,beijing,新景家园东区,116.43208929241847,39.90143416673244,东城,101112804722,13600000.0,111879,Middle,121.56,Flat,Plate & Tower,Steel/Concrete,Hardcover,Yes,2010,2,1,1,2
19,beijing,都市经典家园,116.52709372383154,39.92028605216432,朝阳,101112785366,6100000.0,66565,High,91.64,Flat,Tower,Steel/Concrete,Hardcover,Yes,2003,2,1,1,1
20,beijing,禾风相府,116.42742600885508,39.92925709659209,东城,101112791238,9500000.0,141034,Top ,67.36,Flat,Plate,Steel/Concrete,Hardcover,Yes,2004,2,1,1,1
21,beijing,小关东街,116.41852514870945,39.98460610402795,朝阳,101112798525,7350000.0,70674,Top ,104,Flat,Plate,Mixed,Simplicity,No,1995,3,2,1,1
22,beijing,龙潭西里,116.43352487445397,39.885956789383116,东城,101112855294,5000000.0,113328,Middle,44.12,Flat,Plate,Mixed,Simplicity,No,1974,2,1,1,1
23,beijing,五芳园,116.2336357289847,39.90466504655672,石景山,101112790753,3090000.0,49157,Low,62.86,Flat,Plate,Mixed,Simplicity,No,1993,2,1,1,1
24,beijing,西革新里110号院,116.39663020953145,39.872214775586194,东城,101112798387,4880000.0,80943,Middle,60.29,Flat,Plate,Mixed,Simplicity,No,1992,2,1,1,1
25,beijing,建新南区,116.66156898070862,40.1268670388764,顺义,101112828377,2800000.0,49734,Middle,56.3,Flat,Plate,Mixed,Simplicity,No,1987,2,1,1,1
26,beijing,新康家园,116.49546591394459,39.80607572216842,亦庄开发区,101112834544,5980000.0,58651,Middle,101.96,Flat,Plate,Steel/Concrete,Simplicity,No,2001,2,2,1,1
27,beijing,京贸国际城,116.69099001327976,39.92485710792502,通州,101112829512,5300000.0,57267,High,92.55,Flat,Plate & Tower,Steel/Concrete,Hardcover,Yes,2011,2,1,1,1
28,beijing,老山西里,116.2250352622016,39.91516052342874,石景山,101112855552,2650000.0,52663,Middle,50.32,Flat,Plate,Steel/Concrete,Simplicity,No,1982,2,1,1,1
29,beijing,石榴园南里小区,116.42400103943717,39.85055405743201,丰台,101112806841,3350000.0,56011,Low,59.81,Flat,Plate,Mixed,Hardcover,No,2002,2,1,1,1
30,beijing,碧桂园小区A区,116.17142223343289,39.7667623087384,房山,101112790888,2480000.0,26963,Middle,91.98,Flat,Plate,Mixed,Simplicity,No,2003,2,1,1,1
31,beijing,天通苑北三区,116.44012625215514,40.08296368870586,昌平,101112843473,4460000.0,38393,Middle,116.17,Flat,Plate,Mixed,Simplicity,No,2004,2,1,1,2
32,beijing,松榆西里,116.47203298590294,39.88113008384472,朝阳,101112843402,5650000.0,61574,First Floor ,91.76,Flat,Plate,Mixed,Rough,No,1994,3,1,1,1
33,beijing,金汉绿港四区,116.6689402960624,40.14291745982546,顺义,101112810730,6400000.0,38457,Middle,166.42,Flat,Plate,Steel/Concrete,Simplicity,Yes,2009,3,2,1,2
34,beijing,松榆西里,116.47203298590294,39.88113008384472,朝阳,101112844184,5500000.0,60070,First Floor ,91.56,Flat,Plate,Mixed,Rough,No,1994,2,1,1,1
35,beijing,芭蕾雨悦都北区,116.1921783907159,39.76728918957609,房山,101112839143,3450000.0,41682,Middle,82.77,Flat,Plate,Steel/Concrete,Simplicity,Yes,2011,2,1,1,1
36,beijing,胜利小区,116.6608240159492,40.14214108354894,顺义,101112853142,2450000.0,37827,First Floor ,64.77,Flat,Plate,Mixed,Simplicity,No,1991,2,1,1,1
37,beijing,久敬佳园三区,116.41421022802282,39.8245330220968,丰台,101112841812,4880000.0,50129,High,97.35,Flat,Plate,Steel/Concrete,Hardcover,No,2005,2,2,1,2
38,beijing,复兴路79号院,116.27714910890471,39.91451718508861,海淀,101112843238,6240000.0,94978,First Floor ,65.7,Flat,Plate,Mixed,Simplicity,No,1990,2,1,1,1
39,beijing,鲁能7号院水岸公馆,116.67313403533572,40.188642034269044,顺义,101112849442,4120000.0,34174,Top ,120.56,Flat,Plate,Steel/Concrete,Hardcover,Yes,2014,3,2,1,2
40,beijing,国美第一城2号院,116.51820939250729,39.94012184232057,朝阳,101112846270,5290000.0,69368,High,76.26,Flat,Plate & Tower,Steel/Concrete,Hardcover,Yes,2006,2,1,1,1
41,beijing,安苑北里,116.41864156910356,39.99398868112335,朝阳,101112848790,5700000.0,81944,Low,69.56,Flat,Tower,Steel/Concrete,Hardcover,Yes,1990,2,2,1,1
42,beijing,奥林匹克花园三期,116.55184096266481,39.96575209921597,朝阳,101112838768,6980000.0,63059,Low,110.69,Flat,Plate,Steel/Concrete,Hardcover,Yes,2008,2,1,1,1
43,beijing,和光里,116.26750148738866,39.86722857085193,丰台,101112838761,6490000.0,55580,Low,116.77,Flat,Plate,Steel/Concrete,Simplicity,Yes,2005,3,1,1,2
44,beijing,新城乐居,116.69693356185599,39.87110898441399,通州,101112831163,3350000.0,42475,Low,78.87,Flat,Plate,Steel/Concrete,Hardcover,Yes,2012,2,1,1,1
