0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
富力又一城B区,朝阳,101112779955,795,50579元/平米,2008年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板楼,3室2厅1厨2卫,高楼层 (共18层),157.18㎡,平层,129.77㎡,板楼,南 北,钢混结构,精装,两梯三户,自供暖,有,2021-08-27,商品房,2018-06-29,普通住宅,满两年,非共有,无抵押,已上传房本照片
白广路7号院,西城,101112823905,635,109805元/平米,1984年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板楼,2室1厅1厨1卫,低楼层 (共6层),57.83㎡,平层,49㎡,板楼,南 北,混合结构,其他,一梯三户,集中供暖,无,2021-08-30,已购公房,2001-12-08,普通住宅,满五年,非共有,无抵押,已上传房本照片
莱茵河畔,亦庄开发区,101112557404,585,54072元/平米,2003年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板楼,2室1厅1厨1卫,低楼层 (共8层),108.19㎡,平层,91.19㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2021-08-08,商品房,2015-10-12,普通住宅,满五年,非共有,无抵押,已上传房本照片
瑞海家园五区,大兴,101112573961,509,46379元/平米,2004年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板楼,3室1厅1厨1卫,底层 (共6层),109.75㎡,平层,98.66㎡,板楼,南 北,混合结构,精装,一梯两户,自供暖,无,2021-08-09,商品房,2013-12-04,普通住宅,满五年,非共有,无抵押,已上传房本照片
合生世界村,通州,101111602994,273,30063元/平米,2011年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板楼,2室1厅1厨1卫,中楼层 (共14层),90.81㎡,平层,70.73㎡,板楼,北 南,钢混结构,精装,两梯四户,集中供暖,有,2021-05-16,商品房,2013-09-26,普通住宅,满五年,非共有,有抵押 115万元 光大银行知春路支行 客户偿还,已上传房本照片
三环新城8号院,丰台,101107918650,640,62574元/平米,2007年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板塔结合,2室1厅1厨2卫,中楼层 (共15层),102.28㎡,平层,87.93㎡,板塔结合,西南,钢混结构,精装,两梯四户,自供暖,有,2020-05-30,私产,2009-04-04,普通住宅,满五年,非共有,无抵押,已上传房本照片
双裕花园西区,顺义,101112245982,389,41472元/平米,1999年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板楼,2室1厅1厨1卫,中楼层 (共7层),93.8㎡,平层,85.09㎡,板楼,南 北 东,混合结构,简装,一梯两户,自供暖,无,2021-07-11,商品房,2013-03-20,普通住宅,满五年,非共有,无抵押,已上传房本照片
中粮祥云国际生活区,顺义,101110117141,429,51194元/平米,2013年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板楼,2室1厅1厨1卫,低楼层 (共14层),83.8㎡,平层,66.68㎡,板楼,东 北,钢混结构,精装,两梯三户,自供暖,有,2020-12-18,商品房,2017-01-06,普通住宅,满两年,非共有,有抵押 200万元 光大银行 客户偿还,已上传房本照片
长城国际,通州,101111723199,198,40808元/平米,2009年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/塔楼,1室0厅1厨1卫,低楼层 (共22层),48.52㎡,平层,37.51㎡,塔楼,东,钢混结构,简装,两梯十二户,集中供暖,有,2021-05-27,商品房,2014-12-29,普通住宅,满五年,非共有,有抵押 60万元 农业银行,已上传房本照片
西府景园,丰台,101111350123,698,58464元/平米,2004年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板楼,3室2厅1厨2卫,中楼层 (共23层),119.39㎡,平层,96.27㎡,板楼,南 北,钢混结构,简装,两梯四户,集中供暖,有,2021-04-25,商品房,2017-08-25,普通住宅,满两年,共有,无抵押,已上传房本照片
翠谷玉景,石景山,101112794090,720,46882元/平米,2004年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板楼,3室1厅1厨2卫,顶层 (共6层),153.58㎡,复式,暂无数据,板楼,南 北,钢混结构,简装,一梯三户,集中供暖,无,2021-08-28,商品房,2005-05-23,普通住宅,满五年,非共有,无抵押,已上传房本照片
望京西园一区,朝阳,101112815987,660,57148元/平米,1997年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板楼,3室2厅1厨2卫,高楼层 (共7层),115.49㎡,复式,暂无数据,板楼,东 西,混合结构,精装,一梯三户,集中供暖,无,2021-08-30,商品房,2012-10-11,普通住宅,满五年,非共有,无抵押,已上传房本照片
北苑家园莲葩园,朝阳,101112453417,485,45319元/平米,2004年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/塔楼,2室1厅1厨2卫,低楼层 (共25层),107.02㎡,平层,84.86㎡,塔楼,西南,钢混结构,简装,三梯十户,集中供暖,有,2021-07-30,私产,2006-08-14,普通住宅,满五年,非共有,无抵押,已上传房本照片
首开保利熙悦诚郡,大兴,101112801177,836,65023元/平米,2016年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板楼,3室2厅1厨2卫,低楼层 (共17层),128.57㎡,平层,99.2㎡,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,2021-08-28,商品房,2017-11-23,普通住宅,满两年,非共有,有抵押 292万元 北京银行 客户偿还,已上传房本照片
汇鸿家园,朝阳,101111311959,390,52639元/平米,2005年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板塔结合,2室1厅1厨1卫,低楼层 (共18层),74.09㎡,平层,58.75㎡,板塔结合,西,钢混结构,精装,两梯七户,集中供暖,有,2021-04-22,商品房,2011-09-28,普通住宅,满五年,非共有,无抵押,已上传房本照片
玉桥南里,通州,101112786462,390,35423元/平米,1997年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板楼,3室2厅1厨2卫,顶层 (共6层),110.1㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,2021-08-27,商品房,2011-01-06,普通住宅,满五年,非共有,无抵押,已上传房本照片
一栋洋房,亦庄开发区,101112727536,1750,67025元/平米,2001年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板楼,4室2厅1厨3卫,底层 (共3层),261.1㎡,243.74㎡,南 北,钢混结构,简装,叠拼,集中供暖,2021-08-22,商品房,2003-11-20,别墅,满五年,非共有,无抵押,已上传房本照片,,,
富贵园一区,东城,101112721044,2100,133716元/平米,2004年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板楼,4室2厅1厨2卫,高楼层 (共12层),157.05㎡,复式,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,有,2021-08-22,商品房,2006-03-16,普通住宅,满五年,非共有,无抵押,已上传房本照片
新景家园东区,东城,101112804722,1360,111879元/平米,2010年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板塔结合,2室1厅1厨2卫,中楼层 (共15层),121.56㎡,平层,暂无数据,板塔结合,东 南,钢混结构,精装,两梯六户,集中供暖,有,2021-08-29,商品房,2012-12-21,普通住宅,满五年,非共有,有抵押 40万元 中国银行 业主自还,已上传房本照片
都市经典家园,朝阳,101112785366,610,66565元/平米,2003年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/塔楼,2室1厅1厨1卫,高楼层 (共26层),91.64㎡,平层,74.4㎡,塔楼,东南,钢混结构,精装,三梯十户,集中供暖,有,2021-08-27,商品房,2015-09-22,普通住宅,满五年,非共有,有抵押 100万元 公积金管理中心 业主自还,已上传房本照片
禾风相府,东城,101112791238,950,141034元/平米,2004年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板楼,2室1厅1厨1卫,顶层 (共14层),67.36㎡,平层,暂无数据,板楼,东,钢混结构,精装,一梯五户,集中供暖,有,2021-08-28,商品房,2006-04-25,普通住宅,满五年,非共有,无抵押,已上传房本照片
小关东街,朝阳,101112798525,735,70674元/平米,1995年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板楼,3室2厅1厨1卫,顶层 (共6层),104㎡,平层,暂无数据,板楼,东 南 北,混合结构,简装,一梯两户,集中供暖,无,2021-08-28,已购公房,2005-09-03,普通住宅,满五年,非共有,无抵押,已上传房本照片
龙潭西里,东城,101112855294,500,113328元/平米,1974年建根据本栋部分房源产权证中《房屋登记表》上的测图日期统计生成，可能本栋不同房源之间存在差异，仅供参考。/板楼,2室1厅1厨1卫,中楼层 (共5层),44.12㎡,平层,暂无数据,板楼,南,混合结构,简装,一梯三户,集中供暖,无,2021-09-02,已购公房,2003-04-03,普通住宅,满五年,非共有,无抵押,已上传房本照片
