City,HouseName,District,TotalPrice,Price,Floor,Square,ConstructionTime,Bedrooms,LivingRooms,Kitchens,Bathrooms,Type,Structure,Renovation,Elevator,Subway,TradeTime,DaysonMarket,Followers,Lng,Lat
Beijing, ,7,4150000.0,31680.0,High,131.0,2005,2.0,2.0,1,1,Tower,Steel/Concrete,Simplicity,Yes,Yes,2016,1464,106,116.475489,40.01952
Beijing, ,7,5750000.0,43436.0,High,132.38,2004,2.0,2.0,1,2,Tower,Steel/Concrete,HardCover,Yes,No,2016,903,126,116.453917,39.881534
Beijing, ,7,10300000.0,52021.0,Middle,198.0,2005,3.0,3.0,1,3,Plate,Steel/Concrete,Simplicity,Yes,No,2016,1271,48,116.561978,39.877145
Beijing, ,6,2970000.0,22202.0,Low,134.0,2008,3.0,3.0,1,1,Tower,Steel/Concrete,Other,Yes,No,2016,965,138,116.43801,40.076114
Beijing, ,1,3920000.0,48396.0,Middle,81.0,1960,2.0,2.0,1,1,Plate,Mixed,Rough,No,Yes,2016,927,286,116.428392,39.886229
Beijing, ,7,2750000.0,52000.0,Middle,53.0,2005,1.0,1.0,1,1,Plate,Steel/Concrete,Simplicity,Yes,No,2016,861,57,116.46628,39.991363
Beijing, ,7,2750000.0,37672.0,High,73.0,1997,2.0,2.0,1,1,Plate,Mixed,HardCover,No,No,2016,851,167,116.482586,39.891991
Beijing, ,7,8000000.0,49521.0,High,161.55,2004,3.0,3.0,1,2,Tower,Steel/Concrete,HardCover,Yes,No,2016,904,138,116.453917,39.881534
Beijing, ,13,1340000.0,27917.0,High,48.0,2009,1.0,1.0,1,1,Plate & Tower,Mixed,Other,No,No,2016,873,218,116.555729,40.162058
Beijing, ,1,3800000.0,55883.0,Middle,68.0,2009,1.0,1.0,0,0,Tower,Steel/Concrete,HardCover,Yes,Yes,2016,865,134,116.453086,39.898397
Beijing, ,13,1260000.0,26250.0,Low,48.0,2009,1.0,1.0,1,1,Plate & Tower,Mixed,Simplicity,No,No,2016,773,74,116.555729,40.162058
Beijing, ,10,8960000.0,91710.0,High,97.7,1991,3.0,3.0,1,1,Plate,Mixed,Simplicity,No,Yes,2016,784,65,116.399018,39.978141
Beijing, ,2,2850000.0,35568.0,High,80.13,2001,1.0,1.0,1,1,Tower,Steel/Concrete,HardCover,Yes,Yes,2016,706,90,116.296286,39.870107
Beijing, ,2,3600000.0,60607.0,High,59.4,1990,2.0,2.0,1,1,Tower,Steel/Concrete,Simplicity,Yes,Yes,2016,800,76,116.32922,39.892447
Beijing, ,7,7000000.0,39115.0,Low,178.96,1997,4.0,4.0,1,1,Tower,Steel/Concrete,Simplicity,Yes,Yes,2016,739,39,116.405549,39.975629
Beijing, ,8,2120000.0,32981.0,Middle,64.28,2009,1.0,1.0,1,1,Tower,Steel/Concrete,Simplicity,Yes,Yes,2016,790,6,116.284755,39.93453
Beijing, ,7,3360000.0,30189.0,Middle,111.3,2008,2.0,2.0,1,1,Plate,Steel/Concrete,HardCover,Yes,No,2016,691,130,116.603852,39.893276
Beijing, ,8,1740000.0,33577.0,Middle,52.0,2009,1.0,1.0,1,1,Tower,Steel/Concrete,Simplicity,Yes,Yes,2016,747,41,116.284755,39.93453
Beijing, ,7,19500000.0,63228.0,High,308.41,2011,5.0,5.0,1,4,Plate,Steel/Concrete,HardCover,Yes,Yes,2016,690,20,116.507351,39.934957
Beijing, ,7,1760000.0,29000.0,Low,60.69,2008,1.0,1.0,1,1,Tower,Steel/Concrete,HardCover,Yes,No,2016,697,276,116.448302,39.960966
Beijing, ,1,5200000.0,87176.0,Middle,59.65,2005,1.0,1.0,1,1,Plate & Tower,Steel/Concrete,HardCover,Yes,Yes,2016,681,115,116.432142,39.902354
Beijing, ,7,15800000.0,74999.0,High,210.67,2000,4.0,4.0,1,3,Plate,Steel/Concrete,HardCover,Yes,No,2016,789,84,116.453712,39.940847
Beijing, ,7,11500000.0,52668.0,Middle,218.35,2005,4.0,4.0,1,2,Plate,Steel/Concrete,HardCover,Yes,Yes,2016,656,17,116.486595,39.917578000000006
Beijing, ,7,2130000.0,36417.0,Middle,58.49,2004,1.0,1.0,1,0,Plate & Tower,Steel/Concrete,Simplicity,Yes,Yes,2016,622,83,116.475515,40.008231
Beijing, ,2,1600000.0,30189.0,High,53.0,1998,1.0,1.0,1,1,Tower,Steel/Concrete,Simplicity,Yes,Yes,2016,598,119,116.37301399999998,39.859478
Beijing, ,8,2100000.0,40385.0,Middle,52.0,2009,1.0,1.0,1,1,Tower,Steel/Concrete,Simplicity,Yes,Yes,2016,715,13,116.284755,39.93453
Beijing, ,7,17500000.0,85366.0,Middle,205.0,2010,3.0,3.0,1,2,Plate,Steel/Concrete,Rough,Yes,Yes,2016,630,37,116.450729,39.977923
Beijing, ,8,6300000.0,39378.0,Middle,159.99,2004,3.0,3.0,1,2,Plate,Mixed,HardCover,No,No,2016,580,85,116.369475,40.069842
Beijing, ,7,8450000.0,33988.0,Middle,248.62,2004,2.0,2.0,1,2,Plate,Steel/Concrete,HardCover,Yes,Yes,2016,640,31,116.480923,39.900942
Beijing, ,1,7230000.0,65407.0,High,110.54,1996,3.0,3.0,1,1,Plate,Mixed,HardCover,No,Yes,2016,594,78,116.434144,39.892211
Beijing, ,2,2400000.0,42165.0,Low,56.92,1996,2.0,2.0,1,1,Tower,Steel/Concrete,Simplicity,Yes,Yes,2016,540,57,116.376709,39.867222
Beijing, ,7,5900000.0,51687.0,Low,114.15,2001,2.0,2.0,1,1,Tower,Steel/Concrete,Other,Yes,Yes,2016,628,268,116.485296,39.991732
Beijing, ,6,3540000.0,50672.0,Middle,69.96,2010,3.0,3.0,1,2,Plate & Tower,Steel/Concrete,Other,Yes,Yes,2016,603,19,116.416572,40.063191
Beijing, ,2,2100000.0,44436.0,Low,47.26,2011,1.0,1.0,1,1,Plate & Tower,Steel/Concrete,Simplicity,Yes,Yes,2016,621,138,116.257104,39.873962
Beijing, ,7,2180000.0,29416.0,High,74.11,1993,2.0,2.0,1,1,Plate,Brick/Concrete,Simplicity,No,Yes,2016,535,115,116.513848,39.875068
Beijing, ,2,1400000.0,25455.0,Low,55.0,2011,1.0,1.0,1,1,Plate & Tower,Steel/Concrete,HardCover,Yes,Yes,2016,573,62,116.257104,39.873962
Beijing, ,13,3400000.0,24029.0,Middle,141.5,2004,3.0,3.0,1,2,Plate & Tower,Mixed,HardCover,Yes,No,2016,580,114,116.567579,40.076173
