City,HouseName,District,TotalPrice,Price,Floor,Square,ConstructionTime,Bedrooms,LivingRooms,Kitchens,Bathrooms,Type,Structure,Renovation,Elevator,FloorType,Lng,Lat,ID
beijing,富力又一城B区,朝阳,7950000.0,50579,High,157.18,2008,3,2,1,2,Plate,Steel/Concrete,Hardcover,Yes,Flat,116.56893517753639,39.85275396508811,101112779955
beijing,白广路7号院,西城,6350000.0,109805,Low,57.83,1984,2,1,1,1,Plate,Mixed,Other,No,Flat,116.36368925665002,39.89035320741727,101112823905
beijing,莱茵河畔,亦庄开发区,5850000.0,54072,Low,108.19,2003,2,1,1,1,Plate,Steel/Concrete,Hardcover,Yes,Flat,116.47969750817518,39.80339725076028,101112557404
beijing,瑞海家园五区,大兴,5090000.0,46379,First Floor ,109.75,2004,3,1,1,1,Plate,Mixed,Hardcover,No,Flat,116.34336617245337,39.78917167385806,101112573961
beijing,合生世界村,通州,2730000.0,30063,Middle,90.81,2011,2,1,1,1,Plate,Steel/Concrete,Hardcover,Yes,Flat,116.55298001405147,39.74307440176669,101111602994
beijing,三环新城8号院,丰台,6400000.0,62574,Middle,102.28,2007,2,1,1,2,Plate & Tower,Steel/Concrete,Hardcover,Yes,Flat,116.3140815924892,39.855146972902574,101107918650
beijing,双裕花园西区,顺义,3890000.0,41472,Middle,93.8,1999,2,1,1,1,Plate,Mixed,Simplicity,No,Flat,116.55538199315458,40.113313070667765,101112245982
beijing,中粮祥云国际生活区,顺义,4290000.0,51194,Low,83.8,2013,2,1,1,1,Plate,Steel/Concrete,Hardcover,Yes,Flat,116.54354403331357,40.098554053570254,101110117141
beijing,长城国际,通州,1980000.0,40808,Low,48.52,2009,1,0,1,1,Tower,Steel/Concrete,Simplicity,Yes,Flat,116.32356949528558,39.903923778112734,101111723199
beijing,西府景园,丰台,6980000.0,58464,Middle,119.39,2004,3,2,1,2,Plate,Steel/Concrete,Simplicity,Yes,Flat,116.2765031374125,39.88870114977185,101111350123
beijing,翠谷玉景,石景山,7200000.0,46882,Top ,153.58,2004,3,1,1,2,Plate,Steel/Concrete,Simplicity,No,Duplex,116.25095838294746,39.923404814632946,101112794090
beijing,望京西园一区,朝阳,6600000.0,57148,High,115.49,1997,3,2,1,2,Plate,Mixed,Hardcover,No,Duplex,116.48010893209874,40.010317093256624,101112815987
beijing,北苑家园莲葩园,朝阳,4850000.0,45319,Low,107.02,2004,2,1,1,2,Tower,Steel/Concrete,Simplicity,Yes,Flat,116.42803452100752,40.05103139505239,101112453417
beijing,首开保利熙悦诚郡,大兴,8360000.0,65023,Low,128.57,2016,3,2,1,2,Plate,Steel/Concrete,Hardcover,Yes,Flat,116.43039571704051,39.82472309328116,101112801177
beijing,汇鸿家园,朝阳,3900000.0,52639,Low,74.09,2005,2,1,1,1,Plate & Tower,Steel/Concrete,Hardcover,Yes,Flat,116.58869134112568,39.924842237240924,101111311959
beijing,玉桥南里,通州,3900000.0,35423,Top ,110.1,1997,3,2,1,2,Plate,Mixed,Hardcover,No,Flat,116.68870867660664,39.89609298783278,101112786462
beijing,富贵园一区,东城,21000000.0,133716,High,157.05,2004,4,2,1,2,Plate,Steel/Concrete,Simplicity,Yes,Duplex,116.43982397235102,39.90249719067785,101112721044
beijing,新景家园东区,东城,13600000.0,111879,Middle,121.56,2010,2,1,1,2,Plate & Tower,Steel/Concrete,Hardcover,Yes,Flat,116.43208929241847,39.90143416673244,101112804722
beijing,都市经典家园,朝阳,6100000.0,66565,High,91.64,2003,2,1,1,1,Tower,Steel/Concrete,Hardcover,Yes,Flat,116.52709372383154,39.92028605216432,101112785366
beijing,禾风相府,东城,9500000.0,141034,Top ,67.36,2004,2,1,1,1,Plate,Steel/Concrete,Hardcover,Yes,Flat,116.42742600885508,39.92925709659209,101112791238
beijing,小关东街,朝阳,7350000.0,70674,Top ,104,1995,3,2,1,1,Plate,Mixed,Simplicity,No,Flat,116.41852514870945,39.98460610402795,101112798525
beijing,龙潭西里,东城,5000000.0,113328,Middle,44.12,1974,2,1,1,1,Plate,Mixed,Simplicity,No,Flat,116.43352487445397,39.885956789383116,101112855294
beijing,五芳园,石景山,3090000.0,49157,Low,62.86,1993,2,1,1,1,Plate,Mixed,Simplicity,No,Flat,116.2336357289847,39.90466504655672,101112790753
beijing,西革新里110号院,东城,4880000.0,80943,Middle,60.29,1992,2,1,1,1,Plate,Mixed,Simplicity,No,Flat,116.39663020953145,39.872214775586194,101112798387
beijing,建新南区,顺义,2800000.0,49734,Middle,56.3,1987,2,1,1,1,Plate,Mixed,Simplicity,No,Flat,116.66156898070862,40.1268670388764,101112828377
beijing,新康家园,亦庄开发区,5980000.0,58651,Middle,101.96,2001,2,2,1,1,Plate,Steel/Concrete,Simplicity,No,Flat,116.49546591394459,39.80607572216842,101112834544
beijing,京贸国际城,通州,5300000.0,57267,High,92.55,2011,2,1,1,1,Plate & Tower,Steel/Concrete,Hardcover,Yes,Flat,116.69099001327976,39.92485710792502,101112829512
beijing,老山西里,石景山,2650000.0,52663,Middle,50.32,1982,2,1,1,1,Plate,Steel/Concrete,Simplicity,No,Flat,116.2250352622016,39.91516052342874,101112855552
beijing,石榴园南里小区,丰台,3350000.0,56011,Low,59.81,2002,2,1,1,1,Plate,Mixed,Hardcover,No,Flat,116.42400103943717,39.85055405743201,101112806841
beijing,碧桂园小区A区,房山,2480000.0,26963,Middle,91.98,2003,2,1,1,1,Plate,Mixed,Simplicity,No,Flat,116.17142223343289,39.7667623087384,101112790888
beijing,天通苑北三区,昌平,4460000.0,38393,Middle,116.17,2004,2,1,1,2,Plate,Mixed,Simplicity,No,Flat,116.44012625215514,40.08296368870586,101112843473
beijing,松榆西里,朝阳,5650000.0,61574,First Floor ,91.76,1994,3,1,1,1,Plate,Mixed,Rough,No,Flat,116.47203298590294,39.88113008384472,101112843402
beijing,金汉绿港四区,顺义,6400000.0,38457,Middle,166.42,2009,3,2,1,2,Plate,Steel/Concrete,Simplicity,Yes,Flat,116.6689402960624,40.14291745982546,101112810730
beijing,松榆西里,朝阳,5500000.0,60070,First Floor ,91.56,1994,2,1,1,1,Plate,Mixed,Rough,No,Flat,116.47203298590294,39.88113008384472,101112844184
beijing,芭蕾雨悦都北区,房山,3450000.0,41682,Middle,82.77,2011,2,1,1,1,Plate,Steel/Concrete,Simplicity,Yes,Flat,116.1921783907159,39.76728918957609,101112839143
beijing,胜利小区,顺义,2450000.0,37827,First Floor ,64.77,1991,2,1,1,1,Plate,Mixed,Simplicity,No,Flat,116.6608240159492,40.14214108354894,101112853142
beijing,久敬佳园三区,丰台,4880000.0,50129,High,97.35,2005,2,2,1,2,Plate,Steel/Concrete,Hardcover,No,Flat,116.41421022802282,39.8245330220968,101112841812
beijing,复兴路79号院,海淀,6240000.0,94978,First Floor ,65.7,1990,2,1,1,1,Plate,Mixed,Simplicity,No,Flat,116.27714910890471,39.91451718508861,101112843238
beijing,鲁能7号院水岸公馆,顺义,4120000.0,34174,Top ,120.56,2014,3,2,1,2,Plate,Steel/Concrete,Hardcover,Yes,Flat,116.67313403533572,40.188642034269044,101112849442
beijing,国美第一城2号院,朝阳,5290000.0,69368,High,76.26,2006,2,1,1,1,Plate & Tower,Steel/Concrete,Hardcover,Yes,Flat,116.51820939250729,39.94012184232057,101112846270
beijing,安苑北里,朝阳,5700000.0,81944,Low,69.56,1990,2,2,1,1,Tower,Steel/Concrete,Hardcover,Yes,Flat,116.41864156910356,39.99398868112335,101112848790
beijing,奥林匹克花园三期,朝阳,6980000.0,63059,Low,110.69,2008,2,1,1,1,Plate,Steel/Concrete,Hardcover,Yes,Flat,116.55184096266481,39.96575209921597,101112838768
beijing,和光里,丰台,6490000.0,55580,Low,116.77,2005,3,1,1,2,Plate,Steel/Concrete,Simplicity,Yes,Flat,116.26750148738866,39.86722857085193,101112838761
beijing,新城乐居,通州,3350000.0,42475,Low,78.87,2012,2,1,1,1,Plate,Steel/Concrete,Hardcover,Yes,Flat,116.69693356185599,39.87110898441399,101112831163
beijing,知春路56号院,海淀,9500000.0,123185,High,77.12,1992,3,1,1,1,Plate & Tower,Steel/Concrete,Simplicity,Yes,Flat,116.34418174402589,39.97982828651386,101112800326
beijing,富东嘉园,朝阳,4700000.0,51814,Middle,90.71,2007,2,1,1,1,Plate,Mixed,Hardcover,No,Flat,116.55822737585744,39.952933859817065,101112807698
beijing,三虎桥南路12号院,海淀,8000000.0,96039,Top ,83.3,1980,3,1,1,1,Plate,Mixed,Simplicity,No,Flat,116.3222700963654,39.94108814338823,101112805420
beijing,万源南里,丰台,3680000.0,46174,High,79.7,1988,3,1,1,1,Plate,Mixed,Simplicity,No,Flat,116.43218999246615,39.80344305110091,101112799742
beijing,珠江绿洲,朝阳,6350000.0,53537,Low,118.61,2004,3,1,1,2,Tower,Steel/Concrete,Hardcover,Yes,Flat,116.56775076172148,39.913965431139495,101112792731
beijing,天之骄子,朝阳,12800000.0,86780,Middle,147.5,2006,3,2,1,2,Plate,Steel/Concrete,Hardcover,Yes,Flat,116.47206298930698,39.90150314893908,101112814048
beijing,西廊下胡同二号院,西城,13500000.0,120860,Middle,111.7,1954,3,1,1,2,Plate,Mixed,Simplicity,No,Flat,116.36769857380214,39.93702079013814,101112804118
beijing,惠新北里,朝阳,10800000.0,86901,Low,124.28,1997,3,2,1,1,Plate,Mixed,Simplicity,No,Flat,116.42646122873735,39.99085789089197,101112831425
beijing,银枫家园,朝阳,8300000.0,50420,High,164.62,2002,3,2,1,2,Plate & Tower,Steel/Concrete,Simplicity,Yes,Flat,116.50540566441249,39.99823522765152,101112792376
beijing,西派国际公寓,西城,26800000.0,138616,High,193.34,2009,3,2,1,2,Plate & Tower,Steel/Concrete,Hardcover,Yes,Flat,116.36494167419202,39.93551619909198,101112855459
beijing,禧福汇,朝阳,8300000.0,94760,Middle,87.59,2009,2,1,1,1,Plate & Tower,Steel/Concrete,Hardcover,Yes,Flat,116.48260828751917,39.889385492514386,101112837090
beijing,左家庄西街,朝阳,3860000.0,65203,Middle,59.2,1995,2,1,1,1,Plate,Mixed,Hardcover,No,Flat,116.44679228270047,39.95652959333853,101112830971
beijing,随园,昌平,4260000.0,47801,Top ,89.12,2009,3,3,1,2,Plate,Steel/Concrete,Hardcover,Yes,Duplex,116.27324669010827,40.23662670661484,101112835783
beijing,盛嘉华苑,大兴,2700000.0,34857,Middle,77.46,2012,2,2,1,1,Plate & Tower,Steel/Concrete,Simplicity,Yes,Flat,116.3613158436621,39.74205251110924,101112795891
beijing,福润四季B区,朝阳,3900000.0,52328,First Floor ,74.53,2015,2,1,1,1,Plate,Steel/Concrete,Hardcover,Yes,Flat,116.58800997639635,39.963827098290054,101112803599
beijing,华业东方玫瑰A区,通州,4220000.0,44170,Low,95.54,2011,3,1,1,1,Plate & Tower,Steel/Concrete,Simplicity,Yes,Flat,116.6921314900913,39.88663417004858,101112793299
beijing,索家坟,海淀,7250000.0,114174,Low,63.5,1987,2,1,1,1,Tower,Steel/Concrete,Simplicity,Yes,Flat,116.36730296005555,39.95765508627224,101112830108
beijing,华严北里1号院,朝阳,10280000.0,87999,High,116.82,2004,2,2,1,1,Plate & Tower,Steel/Concrete,Hardcover,Yes,Flat,116.393667508129,39.98677237560239,101112830231
beijing,天福园,朝阳,5630000.0,106913,High,52.66,1994,2,1,1,1,Plate,Mixed,Hardcover,No,Flat,116.29813819680646,39.83000414494122,101112840918
beijing,彩虹城一区,丰台,4950000.0,59718,Top ,82.89,2003,2,1,1,1,Plate & Tower,Steel/Concrete,Hardcover,Yes,Flat,116.422679632032,39.84565005434085,101112801806
beijing,金融街融汇,大兴,3200000.0,43349,High,73.82,2014,2,1,1,1,Plate & Tower,Steel/Concrete,Hardcover,Yes,Flat,116.64719528407402,39.922344884454276,101112843117
beijing,国瑞城中区,东城,11800000.0,128122,Middle,92.1,2006,3,2,1,1,Tower,Steel/Concrete,Simplicity,Yes,Flat,116.43058445102815,39.905126242351,101112853879
beijing,金隅景和园,朝阳,4680000.0,60240,Middle,77.69,2011,2,1,1,1,Plate,Steel/Concrete,Hardcover,Yes,Flat,116.55655401235346,39.95683710494818,101112804761
beijing,京棉新城三厂,朝阳,5320000.0,62245,Middle,85.47,2009,2,1,1,1,Tower,Steel/Concrete,Hardcover,Yes,Flat,116.51301745615129,39.92366917208881,101112809924
beijing,安华里社区,朝阳,6000000.0,88042,Low,68.15,1983,3,1,1,1,Plate,Mixed,Simplicity,No,Flat,116.41119003506773,39.973667752503346,101112829907
beijing,怡馨家园,顺义,5120000.0,40443,Low,126.6,2004,3,2,1,2,Plate,Steel/Concrete,Simplicity,Yes,Split-Level,116.65454351297619,40.126016689846914,101112811113
beijing,王府公寓四区,昌平,5950000.0,23469,Middle,253.53,1996,5,3,1,3,Plate,Mixed,Hardcover,No,Duplex,116.41660942237887,40.11157304901196,101112613347
beijing,本家润园一期,东城,26990000.0,117553,High,229.6,2006,4,2,1,3,Plate,Steel/Concrete,Simplicity,Yes,Duplex,116.4433549418191,39.90268123244805,101112600524
beijing,望京新城,朝阳,8480000.0,64243,Low,132,1998,4,1,1,2,Tower,Steel/Concrete,Hardcover,Yes,Flat,116.4791990384477,40.00422710311743,101112555555
beijing,天天家园,东城,9700000.0,61764,High,157.05,2002,3,1,1,1,Tower,Steel/Concrete,Simplicity,Yes,Flat,116.42449537695933,40.09320679799463,101112693040
beijing,万科城市花园,顺义,6400000.0,40207,Middle,159.18,2000,3,1,1,2,Plate,Mixed,Hardcover,Yes,Flat,116.55958103243044,40.11010606284613,101112747029
beijing,海淀南路,海淀,14500000.0,128319,Middle,113,1988,4,1,1,1,Plate,Steel/Concrete,Simplicity,Yes,Flat,116.3157787610892,39.98172394609244,101112700121
beijing,乔建里,海淀,7950000.0,105299,Low,75.5,1989,3,1,1,1,Plate,Mixed,Hardcover,No,Flat,116.33247071475341,39.90773139325084,101112813021
beijing,首城国际B区,朝阳,9500000.0,107067,Top ,88.73,2011,2,1,1,1,Plate,Steel/Concrete,Hardcover,Yes,Flat,116.47773623775524,39.894692807590054,101112852672
beijing,学院南路乙10号院,海淀,5650000.0,99298,Middle,56.9,1982,3,1,1,1,Plate,Mixed,Simplicity,No,Flat,116.37238494381715,39.96332676053473,101112830482
beijing,华贸城,朝阳,18500000.0,87256,High,212.02,2012,4,2,1,3,Plate & Tower,Steel/Concrete,Hardcover,Yes,Flat,116.43733997795484,40.05381305833712,101112666643
beijing,重聚园,石景山,7380000.0,56152,First Floor ,131.43,2007,3,1,1,2,Plate,Mixed,Simplicity,No,Flat,116.23352927978176,39.90020084716254,101112707070
beijing,丰汇园小区,西城,28100000.0,179898,Top ,156.2,1999,3,2,1,3,Plate,Mixed,Hardcover,No,Duplex,116.37407636326189,39.92151617132381,101112726436
beijing,天通苑东二区,昌平,6350000.0,32010,High,198.38,2001,4,2,1,2,Plate,Mixed,Hardcover,No,Duplex,116.44587639555506,40.074105043223284,101112718538
beijing,幸福艺居,通州,6600000.0,36897,Middle,178.88,2004,5,2,1,2,Plate,Mixed,Simplicity,No,Duplex,116.69616155810071,39.894425085138685,101112788548
beijing,首开常青藤四期,朝阳,9700000.0,61517,First Floor ,157.68,2014,3,2,1,2,Plate,Steel/Concrete,Hardcover,Yes,Duplex,116.5393574804843,39.97020770546913,101112723407
beijing,大苑海淀名著,海淀,15300000.0,107724,Low,142.03,2014,4,2,1,2,Plate,Steel/Concrete,Hardcover,Yes,Flat,116.25152997474345,39.934865653860356,101112706593
beijing,芭蕾雨悦都北区,房山,5900000.0,67122,First Floor ,87.9,2011,3,2,1,2,Plate,Steel/Concrete,Hardcover,Yes,Duplex,116.1921783907159,39.76728918957609,101112707612
beijing,幸福家园二期,东城,21600000.0,115453,Middle,187.09,2003,4,1,1,3,Plate & Tower,Steel/Concrete,Hardcover,Yes,Flat,116.43802601387281,39.89885409890755,101112703787
beijing,K2清水湾,通州,7570000.0,66738,High,113.43,2012,3,2,1,2,Tower,Steel/Concrete,Hardcover,Yes,Flat,116.84822473855766,40.40553105757267,101112712316
beijing,K2玉蘭湾,通州,8150000.0,59734,Middle,136.44,2015,3,2,1,1,Plate,Steel/Concrete,Hardcover,Yes,Flat,116.66641722537653,39.893071441035666,101112409518
beijing,小关北里,朝阳,6350000.0,85580,First Floor ,74.2,1997,2,1,1,1,Plate,Mixed,Simplicity,No,Flat,116.42182803840855,39.98772004581759,101112580379
beijing,城市芳庭,丰台,7600000.0,67870,Low,111.98,1999,3,1,1,2,Tower,Steel/Concrete,Simplicity,Yes,Flat,116.44344800626995,39.870803789808484,101112591997
beijing,万科星园,朝阳,14000000.0,93197,Middle,150.22,2003,3,1,1,2,Tower,Steel/Concrete,Simplicity,Yes,Flat,116.41929796093969,40.03496277744816,101112663497
beijing,南顶村,丰台,4350000.0,50611,High,85.95,1997,3,1,1,1,Tower,Steel/Concrete,Simplicity,Yes,Flat,116.41487533342242,39.84881904928931,101112563158
beijing,运河明珠,通州,5800000.0,52121,Middle,111.28,2008,2,2,1,1,Tower,Steel/Concrete,Hardcover,Yes,Flat,116.69663038374637,39.9066577275671,101112712738
beijing,芳星园三区,丰台,5500000.0,66845,High,82.28,1991,3,1,1,1,Tower,Steel/Concrete,Simplicity,Yes,Flat,116.44201008864012,39.86650011634015,101112748248
beijing,后现代城D区,朝阳,7100000.0,77469,High,91.65,2006,2,2,1,1,Tower,Steel/Concrete,Simplicity,Yes,Flat,116.4919611749974,39.904069901484725,101112709677
beijing,天赐良园二期,通州,3950000.0,50357,First Floor ,78.44,2002,2,1,1,1,Plate,Mixed,Simplicity,No,Flat,116.65022787364515,39.93410099418256,101112712876
beijing,安苑北里,朝阳,6150000.0,81103,High,75.83,1989,3,1,1,1,Tower,Steel/Concrete,Simplicity,Yes,Flat,116.41864156910356,39.99398868112335,101112699433
beijing,东大桥东里,朝阳,3200000.0,87194,Middle,36.7,1979,1,1,1,1,Plate,Brick/Concrete,Simplicity,No,Flat,116.4573576382781,39.9266786383526,101112804873
beijing,芳城园一区,丰台,5450000.0,54041,High,100.85,1993,3,1,1,1,Tower,Steel/Concrete,Simplicity,Yes,Flat,116.44228631758443,39.875385302854944,101112718513
beijing,农光里,朝阳,5100000.0,65520,Middle,77.84,1998,2,1,1,1,Plate,Steel/Concrete,Hardcover,No,Flat,116.47097262607896,39.888028772341514,101112715787
beijing,万年花城五期,丰台,12000000.0,87752,High,136.75,2011,3,1,1,2,Plate,Steel/Concrete,Rough,Yes,Flat,116.31917911693611,39.85017959798714,101112761037
beijing,兴海家园月苑,大兴,3950000.0,51120,Middle,77.27,2006,2,1,1,1,Plate,Mixed,Hardcover,No,Flat,116.34383400996296,39.799749061314074,101112740916
beijing,春风胡同社区,西城,7200000.0,110075,Middle,65.41,2004,2,1,1,1,Plate & Tower,Steel/Concrete,Hardcover,Yes,Flat,116.43787437990272,39.937895715556806,101112799011
beijing,大方居,通州,2790000.0,31028,Middle,89.92,2008,2,1,1,1,Plate & Tower,Steel/Concrete,Hardcover,Yes,Flat,116.63632686536988,39.88197769922303,101112800686
beijing,三义里,西城,7100000.0,108880,Middle,65.21,1981,2,1,1,1,Tower,Steel/Concrete,Simplicity,Yes,Flat,116.33547599583703,39.89495118747271,101112836578
beijing,城子二斜井,门头沟,1770000.0,31256,High,56.63,1992,2,1,1,1,Plate,Mixed,Simplicity,No,Flat,116.09770916972569,39.95362571391015,101112780660
beijing,华威北里,朝阳,4950000.0,65038,High,76.11,1999,2,1,1,1,Plate & Tower,Steel/Concrete,Hardcover,Yes,Flat,116.46375743622282,39.885020639306674,101112726267
beijing,建茗苑,丰台,5790000.0,61919,First Floor ,93.51,2008,3,2,1,1,Tower,Steel/Concrete,Simplicity,Yes,Flat,116.33175494492306,39.87880879419794,101112756246
beijing,教场口9号院,西城,12600000.0,147905,Middle,85.19,2005,3,1,1,1,Tower,Steel/Concrete,Simplicity,Yes,Flat,116.38717761014162,39.96056543528639,101112714958
beijing,清源西里,大兴,2550000.0,42930,Low,59.4,1992,2,1,1,1,Plate & Tower,Mixed,Simplicity,No,Flat,116.34175595982673,39.74854144800043,101112837500
beijing,昌盛园二区,昌平,3490000.0,35817,High,97.44,1998,2,2,1,1,Plate,Mixed,Simplicity,No,Flat,116.26324208198255,40.21770365517781,101112721547
beijing,昌盛园二区,昌平,3050000.0,40516,Middle,75.28,1999,2,1,1,1,Plate,Mixed,Hardcover,No,Flat,116.26324208198255,40.21770365517781,101112802991
beijing,通惠家园,朝阳,4420000.0,58412,Low,75.67,2001,2,1,1,1,Plate & Tower,Steel/Concrete,Simplicity,Yes,Flat,116.51253111354818,39.9161352039967,101112759887
beijing,嘉美风尚中心,朝阳,11980000.0,73497,High,163,2006,3,2,1,2,Plate,Steel/Concrete,Hardcover,Yes,Flat,116.48865109885423,39.993495268235336,101112697753
beijing,飘HOME,朝阳,4250000.0,66293,Low,64.11,2004,1,1,1,1,Tower,Steel/Concrete,Hardcover,Yes,Flat,116.4946163864238,39.97682525420871,101112746233
beijing,芍药居,朝阳,7100000.0,101313,Middle,70.08,1997,2,2,1,1,Tower,Steel/Concrete,Hardcover,Yes,Flat,116.449026663148,39.98481279702098,101112778757
beijing,安华里社区,朝阳,3700000.0,79196,Low,46.72,1992,1,1,1,1,Plate & Tower,Steel/Concrete,Hardcover,Yes,Flat,116.41119003506773,39.973667752503346,101112714622
beijing,管庄东里,朝阳,3600000.0,51473,First Floor ,69.94,1991,3,1,1,1,Plate,Mixed,Hardcover,No,Flat,116.6033718989225,39.92487730438378,101112699712
beijing,华润小区,丰台,3350000.0,52931,Low,63.29,1996,2,1,1,1,Plate,Mixed,Simplicity,No,Flat,116.40008895523651,39.859225111933085,101112699434
beijing,听涛雅苑,亦庄开发区,6900000.0,50347,Low,137.05,2000,3,1,1,2,Plate,Steel/Concrete,Hardcover,Yes,Split-Level,116.64959043605528,39.89750801591153,101112734125
beijing,康静里,朝阳,3090000.0,51024,Middle,60.56,1993,2,1,1,1,Plate,Mixed,Hardcover,No,Flat,116.53915428377795,39.96777160480555,101112794455
beijing,永安东里,海淀,11800000.0,99747,Middle,118.3,1999,3,2,1,1,Plate,Mixed,Simplicity,No,Flat,116.28697198982577,39.93512505666598,101112760510
beijing,佟馨家园,大兴,2680000.0,30636,First Floor ,87.48,2016,2,2,1,1,Plate,Steel/Concrete,Simplicity,Yes,Flat,116.31759226025274,39.73100852917105,101112720251
beijing,园林小区,石景山,4990000.0,62119,Top ,80.33,2003,2,2,1,1,Plate,Mixed,Simplicity,No,Flat,116.25092298971036,39.9147469198338,101112760334
beijing,格兰晴天,通州,2820000.0,58470,High,48.23,2004,1,1,1,1,Plate & Tower,Steel/Concrete,Hardcover,Yes,Flat,116.6800355369078,39.89573600861571,101112721545
beijing,名都家苑,丰台,8700000.0,74252,Middle,117.17,2006,2,1,1,2,Plate,Steel/Concrete,Hardcover,Yes,Flat,116.37898299778794,39.8450951101738,101112731597
