,City,HouseName,Lng,Lat,District,id,TotalPrice,Price,Floor,Square,FloorType,BuildingType,BuildingStructure,RenovationCondition,Elevator,ConstructionTime,BedRooms,LivingRooms,Kitchens,BathRooms
0,guangzhou,东方名都,113.59901336043646,23.131483555495553,增城,108402600970,4290000.0,21027,Low,204.03,Flat,Tower,Steel/Concrete,Rough,Yes,2013,5,2,1,3
1,guangzhou,新都盛世名门,113.60548089061452,23.13163410502189,增城,108402587433,3470000.0,22589,High,153.62,Flat,Tower,Steel/Concrete,Hardcover,Yes,2012,3,2,1,3
2,guangzhou,合景誉山国际,113.60127547337095,23.19553357508218,增城,108402604698,2100000.0,18702,High,112.29,Flat,Tower,Steel/Concrete,Hardcover,Yes,NaN,3,2,1,2
4,guangzhou,中山一路,113.31306834741,23.133126253035833,越秀,108402601688,4870000.0,74159,Low,65.67,Flat,Tower,Steel/Concrete,Hardcover,No,1990,3,1,1,1
5,guangzhou,富城花园,113.61383674880447,23.124810517015725,增城,108402601367,1498000.0,13877,Low,107.95,Flat,Tower,Steel/Concrete,Simplicity,Yes,2008,3,1,1,2
6,guangzhou,恒大山水城,113.6235830042623,23.30161668301231,增城,108402604844,2500000.0,20834,Low,120,Flat,Plate & Tower,Steel/Concrete,Simplicity,Yes,2012,3,2,1,2
7,guangzhou,合景誉山国际,113.60127547337095,23.19553357508218,增城,108402620970,3500000.0,16395,Middle,213.49,Flat,Tower,Steel/Concrete,Hardcover,Yes,NaN,5,2,1,3
8,guangzhou,新塘新世界花园万象苑,113.57919027309322,23.113635745173326,增城,108402618710,2050000.0,25999,High,78.85,Flat,Tower,Steel/Concrete,Simplicity,Yes,2009,2,2,1,1
9,guangzhou,合景誉山国际,113.60127547337095,23.19553357508218,增城,108402620471,1680000.0,18405,Low,91.28,Flat,Tower,Steel/Concrete,Hardcover,Yes,2016,3,1,1,1
10,guangzhou,群星新邨,113.60803656978956,23.135459600860717,增城,108402529189,2850000.0,15752,Middle,180.94,Flat,Tower,Steel/Concrete,Rough,Yes,2012,4,2,1,3
11,guangzhou,方圆云山诗意,113.26824694125847,23.200594796887778,增城,108402551404,2498000.0,17602,High,141.92,Flat,Bungalow,Steel/Concrete,Hardcover,Yes,2016,4,2,1,2
12,guangzhou,富力泉天下,113.65856679369243,23.641979543138874,从化,108402582012,1100000.0,9095,Middle,120.95,Flat,Tower,Steel/Concrete,Hardcover,Yes,NaN,3,1,1,2
13,guangzhou,白云高尔夫花园荷塘月色,113.27721993533359,23.205058446495876,白云,108402589241,5380000.0,50052,Low,107.49,Flat,Tower,Steel/Concrete,Simplicity,Yes,2002,4,1,1,1
14,guangzhou,富力泉天下,113.65856679369243,23.641979543138874,从化,108402586118,1680000.0,11350,High,148.03,Flat,Tower,Steel/Concrete,Other,Yes,2014,4,1,1,2
15,guangzhou,纺织路东沙街,113.41263177806692,23.15320986808266,海珠,108402586314,2650000.0,38279,Middle,69.23,Flat,Other,Steel/Concrete,Hardcover,Unknown,NaN,3,2,1,1
16,guangzhou,保利城花园,113.17057499166579,23.381939862798554,花都,108402582785,2180000.0,14314,Low,152.3,Flat,Tower,Steel/Concrete,Hardcover,Yes,2009,3,2,1,2
17,guangzhou,南天阁,113.27506346312704,23.101952521664572,海珠,108402572811,4280000.0,51050,Low,83.84,Flat,Tower,Steel/Concrete,Hardcover,Yes,1994,3,2,1,2
18,guangzhou,光大花园中海锦榕湾,113.26515955505225,23.09181769161996,海珠,108402580728,8300000.0,66640,Low,124.55,Flat,Tower,Steel/Concrete,Simplicity,Yes,2010,3,1,1,2
19,guangzhou,前进路(海珠),113.32465181370303,23.083309904250434,海珠,108402600104,2030000.0,29163,Middle,69.61,Flat,Tower,Steel/Concrete,Simplicity,No,NaN,3,1,1,1
20,guangzhou,天顺跃居,113.36266073676755,23.131012796326374,天河,108402593133,7600000.0,63866,Middle,119,Flat,Tower,Steel/Concrete,Simplicity,Yes,2004,3,2,1,1
21,guangzhou,江南西路,113.27712660139113,23.10100655381085,海珠,108402589258,3220000.0,43996,Middle,73.19,Flat,Plate,Steel/Concrete,Hardcover,Yes,1986,3,1,1,1
22,guangzhou,紫泉翠荔嘉园,113.49350737832441,23.448331500951248,从化,108402604234,1510000.0,16675,Low,90.56,Flat,Tower,Steel/Concrete,Simplicity,No,2007,3,2,1,1
