0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
东方名都,增城,108402600970,429,21027元/平米,2013年建/塔楼,5室2厅1厨3卫,低楼层 (共30层),204.03㎡,平层,161.59㎡,塔楼,南 北,钢混结构,毛坯,三梯两户,有,2021-08-28,商品房,2014-12-04,普通住宅,满五年,共有,有抵押 90万元 广发银行,已上传房本照片,,,
新都盛世名门,增城,108402587433,347,22589元/平米,2012年建/塔楼,3室2厅1厨3卫,高楼层 (共28层),153.62㎡,平层,123.13㎡,塔楼,南,钢混结构,精装,一梯四户,有,2021-08-24,商品房,2013-11-05,普通住宅,满五年,共有,无抵押,已上传房本照片,,,
合景誉山国际,增城,108402604698,210,18702元/平米,未知年建/塔楼,3室2厅1厨2卫,高楼层 (共28层),112.29㎡,平层,94.08㎡,塔楼,南,钢混结构,精装,两梯六户,有,2021-08-29,商品房,2019-06-17,普通住宅,满两年,共有,有抵押 30万元 业主自还,已上传房本照片,,,
合景花漫里,增城,108402604146,398,21992元/平米,未知年建/暂无数据,4室2厅1厨3卫,低楼层 (共3层),180.98㎡,175.46㎡,南,钢混结构,毛坯,暂无数据,2021-08-29,商品房,2019-03-27,别墅,满两年,非共有,有抵押 200万元 建设银行 客户偿还,已上传房本照片,,,,,,
中山一路,越秀,108402601688,487,74159元/平米,1990年建/塔楼,3室1厅1厨1卫,低楼层 (共9层),65.67㎡,平层,56.47㎡,塔楼,南 北,钢混结构,精装,一梯八户,无,2021-08-28,商品房,2010-01-04,普通住宅,满五年,共有,有抵押 70万元 业主自还,已上传房本照片,,,
富城花园,增城,108402601367,149.8,13877元/平米,2008年建/塔楼,3室1厅1厨2卫,低楼层 (共15层),107.95㎡,平层,88.5㎡,塔楼,北,钢混结构,简装,三梯十六户,有,2021-08-28,商品房,2009-06-23,普通住宅,满五年,共有,无抵押,已上传房本照片,,,
恒大山水城,增城,108402604844,250,20834元/平米,2012年建/板塔结合,3室2厅1厨2卫,低楼层 (共18层),120㎡,平层,98.55㎡,板塔结合,南,钢混结构,简装,两梯四户,有,2021-08-29,商品房,2013-04-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
合景誉山国际,增城,108402620970,350,16395元/平米,未知年建/塔楼,5室2厅1厨3卫,中楼层 (共18层),213.49㎡,平层,暂无数据,塔楼,南 北,钢混结构,精装,一梯两户,有,2021-09-02,商品房,2017-07-05,普通住宅,满两年,非共有,有抵押 60万元,已上传房本照片,,,
新塘新世界花园万象苑,增城,108402618710,205,25999元/平米,2009年建/塔楼,2室2厅1厨1卫,高楼层 (共18层),78.85㎡,平层,64.43㎡,塔楼,北,钢混结构,简装,两梯四户,有,2021-09-01,商品房,2009-09-28,普通住宅,满五年,共有,无抵押,已上传房本照片,,,
合景誉山国际,增城,108402620471,168,18405元/平米,2016年建/塔楼,3室1厅1厨1卫,低楼层 (共25层),91.28㎡,平层,74.22㎡,塔楼,北,钢混结构,精装,两梯七户,有,2021-09-02,商品房,2018-12-17,普通住宅,满两年,非共有,有抵押 90万元,已上传房本照片,,,
群星新邨,增城,108402529189,285,15752元/平米,2012年建/塔楼,4室2厅1厨3卫,中楼层 (共28层),180.94㎡,平层,152.73㎡,塔楼,东,钢混结构,毛坯,两梯六户,有,2021-08-07,商品房,2017-08-08,普通住宅,满两年,非共有,有抵押 130万元,已上传房本照片,,,
方圆云山诗意,增城,108402551404,249.8,17602元/平米,2016年建/平房,4室2厅1厨2卫,高楼层 (共26层),141.92㎡,平层,112.73㎡,平房,南,钢混结构,精装,两梯四户,有,2021-08-13,商品房,2018-08-10,普通住宅,满两年,非共有,有抵押 85万元,已上传房本照片,,,
富力泉天下,从化,108402582012,110,9095元/平米,未知年建/塔楼,3室1厅1厨2卫,中楼层 (共23层),120.95㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯六户,有,2021-08-22,商品房,2017-07-31,普通住宅,满两年,非共有,无抵押,已上传房本照片,,,
白云高尔夫花园荷塘月色,白云,108402589241,538,50052元/平米,2002年建/塔楼,4室1厅1厨1卫,低楼层 (共11层),107.49㎡,平层,暂无数据,塔楼,北,钢混结构,简装,一梯四户,有,2021-08-24,商品房,2018-04-28,普通住宅,满两年,非共有,有抵押 220万元,已上传房本照片,,,
富力泉天下,从化,108402586118,168,11350元/平米,2014年建/塔楼,4室1厅1厨2卫,高楼层 (共18层),148.03㎡,平层,124.79㎡,塔楼,东南,钢混结构,其他,两梯六户,有,2021-08-23,商品房,2015-04-07,普通住宅,满五年,非共有,有抵押 87万元 工商银行 业主自还,已上传房本照片,,,
纺织路东沙街,海珠,108402586314,265,38279元/平米,未知年建/暂无数据,3室2厅1厨1卫,中楼层 (共8层),69.23㎡,平层,暂无数据,暂无数据,南 北,钢混结构,精装,一梯一户,暂无数据,2021-08-24,房改房,1993-02-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
保利城花园,花都,108402582785,218,14314元/平米,2009年建/塔楼,3室2厅1厨2卫,低楼层 (共25层),152.3㎡,平层,118.59㎡,塔楼,南 北,钢混结构,精装,两梯三户,有,2021-08-22,商品房,2011-10-24,普通住宅,满五年,共有,无抵押,已上传房本照片,,,
南天阁,海珠,108402572811,428,51050元/平米,1994年建/塔楼,3室2厅1厨2卫,低楼层 (共18层),83.84㎡,平层,暂无数据,塔楼,东南,钢混结构,精装,两梯八户,有,2021-08-20,商品房,2003-04-03,普通住宅,满五年,共有,无抵押,已上传房本照片,,,
光大花园中海锦榕湾,海珠,108402580728,830,66640元/平米,2010年建/塔楼,3室1厅1厨2卫,低楼层 (共33层),124.55㎡,平层,99.01㎡,塔楼,北,钢混结构,简装,三梯六户,有,2021-08-22,商品房,2010-06-08,普通住宅,满五年,共有,有抵押 30万元 业主自还,已上传房本照片,,,
前进路(海珠),海珠,108402600104,203,29163元/平米,未知年建/塔楼,3室1厅1厨1卫,中楼层 (共7层),69.61㎡,平层,暂无数据,塔楼,东北 东 东南,钢混结构,简装,一梯两户,无,2021-08-27,商品房,2018-12-07,普通住宅,满两年,非共有,无抵押,已上传房本照片,,,
天顺跃居,天河,108402593133,760,63866元/平米,2004年建/塔楼,3室2厅1厨1卫,中楼层 (共11层),119㎡,平层,103㎡,塔楼,北,钢混结构,简装,一梯四户,有,2021-08-25,商品房,2015-09-11,普通住宅,满五年,非共有,有抵押 30万元 公积金 业主自还,已上传房本照片,,,
江南西路,海珠,108402589258,322,43996元/平米,1986年建/板楼,3室1厅1厨1卫,中楼层 (共8层),73.19㎡,平层,66.13㎡,板楼,东南,钢混结构,精装,一梯三户,有,2021-08-24,商品房,2006-11-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
紫泉翠荔嘉园,从化,108402604234,151,16675元/平米,2007年建/塔楼,3室2厅1厨1卫,低楼层 (共6层),90.56㎡,平层,79.88㎡,塔楼,东南,钢混结构,简装,一梯两户,无,2021-08-29,商品房,2009-08-27,普通住宅,满五年,共有,有抵押 25万元 农商银行,已上传房本照片,,,
富丽花苑,天河,108402606178,650,66790元/平米,1994年建/塔楼,3室2厅1厨2卫,高楼层 (共8层),97.32㎡,平层,暂无数据,塔楼,南 北,钢混结构,精装,一梯两户,有,2021-08-29,商品房,2002-06-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
同和云苑新村,白云,108402609624,240,26694元/平米,2000年建/塔楼,3室2厅1厨2卫,高楼层 (共7层),89.91㎡,平层,80.39㎡,塔楼,东,钢混结构,精装,一梯两户,无,2021-08-30,商品房,2018-08-15,普通住宅,满两年,非共有,有抵押 100万元 农行 金融公司垫资,已上传房本照片,,,
万科柏悦湾,荔湾,108402605113,485,50500元/平米,2005年建/塔楼,3室2厅1厨2卫,高楼层 (共34层),96.04㎡,平层,76.75㎡,塔楼,北,钢混结构,精装,两梯六户,有,2021-08-29,商品房,2016-05-12,普通住宅,满五年,共有,有抵押 70万元 业主自还,已上传房本照片,,,
光大花园中海锦榕湾,海珠,108402609134,860,80045元/平米,2006年建/塔楼,3室2厅1厨2卫,低楼层 (共32层),107.44㎡,平层,85.36㎡,塔楼,东北,钢混结构,精装,三梯六户,有,2021-08-30,商品房,2012-08-02,普通住宅,满五年,共有,无抵押,已上传房本照片,,,
