,City,HouseName,Lng,Lat,tradeTime,DOM,followers,totalPrice,price,square,bedRoom,livingRoom,kitchen,bathRoom,floor,buildingType,constructionTime,renovationCondition,buildingStructure,elevator,subway,district
0,Shanghai,海棠馨苑南区,121.24979633400042,31.185656967038447,2021,7,3,2480000.0,50335.0,49.27,1.0,1,1,1,Middle,Plate       ,NaN ,Simplicity     ,Steel/Concrete  ,Yes           ,Unknown,Unknown
1,Shanghai,建业新村,121.52940623076657,31.19570155584116,2021,13,2,3260000.0,69362.0,47.0,1.0,1,1,1,Low,Plate       ,1998 ,Simplicity     ,Brick/Concrete  ,No           ,Unknown,Unknown
2,Shanghai,金地自在城(二期),121.2576206648229,31.131183623683715,2021,30,10,4340000.0,48449.0,89.58,2.0,2,1,1,Middle,Plate       ,2014 ,Hardcover     ,Steel/Concrete  ,Yes           ,Unknown,Unknown
3,Shanghai,上海捷克住宅小区(公寓),121.28396221627528,31.16655180125927,2021,9,0,4450000.0,49916.0,89.15,2.0,1,1,1,High,Plate       ,2008 ,Simplicity     ,Steel/Concrete  ,Yes           ,Unknown,Unknown
4,Shanghai,和源名城,121.47306271256971,31.32376435878371,2021,9,11,5570000.0,69073.0,80.64,2.0,1,1,1,High,Plate       ,2014 ,Hardcover     ,Steel/Concrete  ,Yes           ,Unknown,Unknown
5,Shanghai,新中新村,121.48301521897586,31.286662472632987,2021,24,13,2230000.0,63842.0,34.93,1.0,1,1,1,Middle,Plate       ,1998 ,Simplicity     ,Steel/Concrete  ,No           ,Unknown,Unknown
6,Shanghai,欣乐苑（东苑）,121.24390946850188,31.190426047118553,2021,3,4,2480000.0,44709.0,55.47,1.0,1,0,1,High,Plate       ,2013 ,Hardcover     ,Steel/Concrete  ,Unknown           ,Unknown,Unknown
7,Shanghai,西湖苑,121.3687300072494,31.119136891501313,2021,41,16,1720000.0,52697.0,32.64,1.0,0,1,1,High,Plate       ,1994 ,Simplicity     ,Brick/Concrete  ,No           ,Unknown,Unknown
8,Shanghai,长春新苑,121.42346600773612,31.184641891110314,2021,18,22,6350000.0,92945.0,68.32,2.0,1,1,1,Low,Plate       ,1996 ,Hardcover     ,Steel/Concrete  ,No           ,Unknown,Unknown
9,Shanghai,维罗纳贵都,121.21118258182348,31.024229484553324,2021,1,0,4520000.0,43073.0,104.94,4.0,2,1,1,High,Plate       ,2006 ,Hardcover     ,Steel/Concrete  ,Yes           ,Unknown,Unknown
10,Shanghai,中浩云花园,121.42282713285742,31.26834138837375,2021,11,0,9390000.0,88585.0,106.0,2.0,2,1,1,High,Plate       ,2008 ,Hardcover     ,Steel/Concrete  ,Yes           ,Unknown,Unknown
11,Shanghai,德盈佳园,121.80528052406945,31.063667808141023,2021,21,7,2310000.0,25117.0,91.97,2.0,2,1,1,Low,Plate       ,2008 ,Hardcover     ,Steel/Concrete  ,Yes           ,Unknown,Unknown
12,Shanghai,丹桂佳苑,121.76749689601426,31.031040109428755,2021,82,41,1520000.0,25174.0,60.38,1.0,1,1,1,Middle,Plate       ,2008 ,Rough     ,Steel/Concrete  ,No           ,Unknown,Unknown
13,Shanghai,星云苑,121.54886245014606,31.316292331481492,2021,38,92,8200000.0,76351.0,107.4,2.0,2,1,1,Middle,Plate       ,2007 ,Hardcover     ,Steel/Concrete  ,Yes           ,Unknown,Unknown
14,Shanghai,洛川中路1100弄,121.4560534773994,31.27070760991036,2021,132,69,3650000.0,89991.0,40.56,1.0,1,1,1,Middle,Plate       ,1985 ,Hardcover     ,Brick/Concrete  ,No           ,Unknown,Unknown
15,Shanghai,瑞丰园,121.38390660934881,31.32289252715869,2021,56,15,4950000.0,53307.0,92.86,3.0,1,1,1,High,Plate       ,2005 ,Hardcover     ,Steel/Concrete  ,No           ,Unknown,Unknown
16,Shanghai,盛大花园,121.46088097121,31.18401189438163,2021,22,76,12450000.0,112203.0,110.96,2.0,2,1,2,Low,Plate       ,2003 ,Hardcover     ,Steel/Concrete  ,Yes           ,Unknown,Unknown
17,Shanghai,景峰苑,121.43559915076774,31.284353978763125,2021,26,41,2050000.0,60795.0,33.72,1.0,1,1,1,High,Plate       ,1995 ,Hardcover     ,Brick/Concrete  ,No           ,Unknown,Unknown
18,Shanghai,金桂苑(徐汇),121.42011029767305,31.16867240361738,2021,47,23,9950000.0,71465.0,139.23,3.0,1,1,2,Low,Tower       ,1996 ,Hardcover     ,Steel/Concrete  ,Yes           ,Unknown,Unknown
19,Shanghai,瞿四小区,121.49284187278006,31.206768486138067,2021,7,7,3700000.0,107653.0,34.37,1.0,0,1,1,Middle,Plate       ,1988 ,Hardcover     ,Steel/Concrete  ,No           ,Unknown,Unknown
20,Shanghai,闵浦新苑六村,121.54246175389582,31.0652333268748,2021,27,57,2580000.0,42498.0,60.71,2.0,1,0,1,High,Plate       ,2007 ,Hardcover     ,Steel/Concrete  ,Yes           ,Unknown,Unknown
21,Shanghai,华松西区（仙霞西路700弄）,121.3635668166697,31.21531336787089,2021,5,5,3970000.0,61030.0,65.05,2.0,1,1,1,Middle,Plate       ,1995 ,Simplicity     ,Steel/Concrete  ,No           ,Unknown,Unknown
22,Shanghai,名都城(公寓),121.54061295132573,31.035734423504866,2021,20,22,11800000.0,85508.0,138.0,3.0,2,1,2,Middle,Plate & Tower       ,1999 ,Simplicity     ,Steel/Concrete  ,Yes           ,Unknown,Unknown
23,Shanghai,青水湾公寓,121.14339896329598,31.16460125588742,2021,24,22,4700000.0,37640.0,124.87,3.0,2,0,2,Middle,Plate       ,2005 ,Hardcover     ,Steel/Concrete  ,No           ,Unknown,Unknown
24,Shanghai,新南家园,121.45204766363875,30.998924869263565,2021,140,63,3350000.0,25075.0,133.6,3.0,1,1,2,Middle,Plate       ,2005 ,Simplicity     ,Steel/Concrete  ,Yes           ,Unknown,Unknown
25,Shanghai,临波大楼,121.35946659099994,30.722049557148154,2021,165,3,1030000.0,13919.0,74.0,2.0,1,1,1,Low,Tower       ,1992 ,Simplicity     ,Mixed  ,Unknown           ,Unknown,Unknown
26,Shanghai,茉莉雅苑,121.252152409692,31.109561868731348,2021,88,132,2460000.0,36044.0,68.25,2.0,1,1,1,Middle,Plate       ,2012 ,Hardcover     ,Steel/Concrete  ,Yes           ,Unknown,Unknown
27,Shanghai,城东新村（二区）,121.13059846910099,31.150502203332227,2021,4,4,1500000.0,40150.0,37.36,1.0,1,1,1,High,Plate       ,1992 ,Hardcover     ,Brick/Concrete  ,No           ,Unknown,Unknown
28,Shanghai,新凯城尚樱苑,121.2490423861859,31.12087754536027,2021,254,51,2740000.0,37300.0,73.46,2.0,2,1,1,Middle,Plate       ,2014 ,Rough     ,Steel/Concrete  ,Yes           ,Unknown,Unknown
29,Shanghai,龙柏五村,121.37541483753245,31.18177230939203,2021,9,7,4680000.0,70208.0,66.66,2.0,1,1,1,Middle,Plate       ,1995 ,Simplicity     ,Brick/Concrete  ,No           ,Unknown,Unknown
30,Shanghai,古华新村,121.47338331780624,30.921941969406564,2021,2,0,1250000.0,23961.0,52.17,2.0,1,1,1,High,Plate       ,NaN ,Other     ,Brick/Concrete  ,No           ,Unknown,Unknown
31,Shanghai,翔殷路491弄,121.54318372203419,31.312227373057752,2021,272,82,4060000.0,79421.0,51.12,2.0,1,1,1,Low,Plate       ,1993 ,Simplicity     ,Brick/Concrete  ,No           ,Unknown,Unknown
