0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1室1厅1厨1卫        ,中楼层(共11层)          ,49.27㎡          ,暂无数据              ,暂无数据         ,板楼       ,南   ,未知 ,简装     ,钢混结构  , ,一梯四户           ,有           ,107104001481          ,商品房          ,2021-05-21         ,普通住宅          ,暂无数据       ,非共有           ,248挂牌价格（万）,7成交周期（天）,1调价（次）,带看（次）,3关注（人）,146浏览（次）,248万,50335,2021.05.27 成交,海棠馨苑南区 1室1厅 49.27平米
1室1厅1厨1卫        ,低楼层(共6层)          ,47㎡          ,平层              ,47㎡         ,板楼       ,南   ,1998 ,简装     ,砖混结构  , ,一梯两户           ,无           ,107103978258          ,商品房          ,2021-05-15         ,普通住宅          ,暂无数据       ,共有           ,330挂牌价格（万）,13成交周期（天）,0调价（次）,带看（次）,2关注（人）,502浏览（次）,326万,69362,2021.05.27 成交,建业新村 1室1厅 47平米
2室2厅1厨1卫        ,中楼层(共18层)          ,89.58㎡          ,平层              ,暂无数据         ,板楼       ,南 北   ,2014 ,精装     ,钢混结构  , ,两梯四户           ,有           ,107103910425          ,商品房          ,2021-04-28         ,普通住宅          ,暂无数据       ,非共有           ,435挂牌价格（万）,30成交周期（天）,0调价（次）,带看（次）,10关注（人）,2004浏览（次）,434万,48449,2021.05.27 成交,金地自在城(二期) 2室2厅 89.58平米
2室1厅1厨1卫        ,高楼层(共6层)          ,89.15㎡          ,平层              ,暂无数据         ,板楼       ,南 北   ,2008 ,简装     ,钢混结构  , ,一梯两户           ,有           ,107103991663          ,商品房          ,2021-05-19         ,普通住宅          ,暂无数据       ,共有           ,450挂牌价格（万）,9成交周期（天）,1调价（次）,带看（次）,0关注（人）,17浏览（次）,445万,49916,2021.05.27 成交,上海捷克住宅小区(公寓) 2室1厅 89.15平米
2室1厅1厨1卫        ,高楼层(共34层)          ,80.64㎡          ,平层              ,暂无数据         ,板楼       ,南   ,2014 ,精装     ,钢混结构  , ,两梯五户           ,有           ,107103993703          ,动迁安置房          ,2021-05-19         ,普通住宅          ,暂无数据       ,非共有           ,560挂牌价格（万）,9成交周期（天）,2调价（次）,带看（次）,11关注（人）,1212浏览（次）,557万,69073,2021.05.27 成交,和源名城 2室1厅 80.64平米
1室1厅1厨1卫        ,中楼层(共7层)          ,34.93㎡          ,平层              ,暂无数据         ,板楼       ,东   ,1998 ,简装     ,钢混结构  , ,一梯十户           ,无           ,107103931201          ,商品房          ,2021-05-04         ,普通住宅          ,暂无数据       ,非共有           ,230挂牌价格（万）,24成交周期（天）,0调价（次）,带看（次）,13关注（人）,1891浏览（次）,223万,63842,2021.05.27 成交,新中新村 1室1厅 34.93平米
1室1厅0厨1卫        ,高楼层(共18层)          ,55.47㎡          ,暂无数据              ,暂无数据         ,板楼       ,南   ,2013 ,精装     ,钢混结构  , ,一梯四户           ,暂无数据           ,107104015123          ,商品房          ,2021-05-25         ,普通住宅          ,暂无数据       ,共有           ,249挂牌价格（万）,3成交周期（天）,1调价（次）,带看（次）,4关注（人）,113浏览（次）,248万,44709,2021.05.27 成交,欣乐苑（东苑） 1室1厅 55.47平米
1室0厅1厨1卫        ,高楼层(共6层)          ,32.64㎡          ,平层              ,暂无数据         ,板楼       ,南   ,1994 ,简装     ,砖混结构  , ,一梯四户           ,无           ,107103864830          ,商品房          ,2021-04-17         ,普通住宅          ,暂无数据       ,非共有           ,175挂牌价格（万）,41成交周期（天）,0调价（次）,带看（次）,16关注（人）,3960浏览（次）,172万,52697,2021.05.27 成交,西湖苑 1室0厅 32.64平米
2室1厅1厨1卫        ,低楼层(共6层)          ,68.32㎡          ,平层              ,暂无数据         ,板楼       ,南   ,1996 ,精装     ,钢混结构  , ,一梯三户           ,无           ,107103958553          ,商品房          ,2021-05-10         ,普通住宅          ,暂无数据       ,非共有           ,655挂牌价格（万）,18成交周期（天）,0调价（次）,带看（次）,22关注（人）,3847浏览（次）,635万,92945,2021.05.27 成交,长春新苑 2室1厅 68.32平米
4室2厅1厨1卫        ,高楼层(共8层)          ,104.94㎡          ,平层              ,暂无数据         ,板楼       ,南   ,2006 ,精装     ,钢混结构  , ,一梯两户           ,有           ,107104019967          ,商品房          ,2021-05-27         ,普通住宅          ,暂无数据       ,非共有           ,465挂牌价格（万）,1成交周期（天）,0调价（次）,带看（次）,0关注（人）,53浏览（次）,452万,43073,2021.05.27 成交,维罗纳贵都 4室2厅 104.94平米
