,City,HouseName,Lng,Lat,District,id,TotalPrice,Price,Floor,Square,FloorType,BuildingType,BuildingStructure,RenovationCondition,Elevator,ConstructionTime,BedRooms,LivingRooms,Kitchens,BathRooms
0,shanghai,谈家港花苑一村,121.54023692063926,31.07333634949813,闵行,107104391304,3300000.0,33123,Low,99.63,Flat,Plate,Brick/Concrete,Simplicity,No,2006,2,2,1,1
1,shanghai,绿地东岸涟城,121.9233493087734,30.890324694600853,浦东,107104354107,7250000.0,31859,Low,227.57,Duplex,Plate,Steel/Concrete,Simplicity,No,2009,4,2,1,3
2,shanghai,绿地金卫新家园（东区）,121.3204121301398,30.74996252539778,金山,107104357967,1550000.0,15611,Low,99.29,Flat,Plate,Steel/Concrete,Hardcover,No,2009,2,2,1,1
3,shanghai,浦江馨都,121.53805942808307,31.046272745438216,闵行,107104380708,4100000.0,42914,Low,95.54,Flat,Plate,Steel/Concrete,Hardcover,Yes,2013,3,1,1,1
4,shanghai,虹浦新城南区,121.54261329803535,31.0520259017017,闵行,107104392540,3200000.0,41602,Low,76.92,Flat,Plate,Steel/Concrete,Simplicity,Yes,2008,2,1,1,1
5,shanghai,上浦小区,121.69463704288042,31.19778389140993,浦东,107104374552,3600000.0,39259,High,91.7,Flat,Plate,Brick/Concrete,Rough,No,1993,3,1,1,1
6,shanghai,新南家园,121.45204766363875,30.998924869263565,奉贤,107104304015,2670000.0,27019,High,98.82,Flat,Plate,Steel/Concrete,Simplicity,No,2002,3,2,1,1
7,shanghai,绿地东岸涟城,121.9233493087734,30.890324694600853,浦东,107104205374,5500000.0,28836,High,190.74,Duplex,Plate,Steel/Concrete,Rough,Yes,NaN,5,2,2,3
8,shanghai,山鑫联城花苑,121.36292901975762,30.742146299064483,金山,107104122880,1900000.0,13029,Low,145.83,Flat,Plate,Steel/Concrete,Simplicity,No,2004,4,2,1,2
9,shanghai,川沙公寓,121.69591128924631,31.195729820004804,浦东,107104288846,5800000.0,42253,Low,137.27,Flat,Plate,Steel/Concrete,Hardcover,No,2004,3,2,1,2
10,shanghai,正荣御首府,121.32538550876524,30.751565434496907,金山,107104349896,2570000.0,22992,Middle,111.78,Flat,Plate,Steel/Concrete,Hardcover,Yes,NaN,3,2,1,1
11,shanghai,海韵馨苑,121.34969626095123,30.76778193870532,奉贤,107104376808,1520000.0,11658,Middle,130.39,Flat,Plate,Steel/Concrete,Rough,No,2009,3,2,1,2
12,shanghai,听潮六村,121.75034887264265,31.050578963716134,浦东,107104369538,2350000.0,25740,Low,91.3,Flat,Plate,Brick/Concrete,Rough,No,1995,2,2,1,1
13,shanghai,保利铃兰公馆,121.92562220137474,30.92494757261289,浦东,107104097465,4680000.0,52029,Low,89.95,Flat,Plate,Steel/Concrete,Hardcover,Yes,2018,3,2,1,2
14,shanghai,联富假日公寓,121.48726680912405,31.249752446973552,静安,107104054736,6200000.0,100912,High,61.44,Flat,Plate,Steel/Concrete,Hardcover,Yes,2007,2,1,1,1
15,shanghai,绿地蓝海庭,121.9235025596934,30.889783606925928,浦东,107104375756,1680000.0,31976,Middle,52.54,Flat,Plate,Steel/Concrete,Hardcover,No,2009,1,1,1,1
16,shanghai,新南家园,121.45204766363875,30.998924869263565,奉贤,107104010878,3400000.0,25453,Low,133.58,Flat,Plate,Steel/Concrete,Simplicity,Yes,2005,2,2,1,2
17,shanghai,城丰路15弄,121.69708187115637,31.197356076198027,浦东,107103234885,3650000.0,34157,Middle,106.86,Flat,Plate,Brick/Concrete,Simplicity,No,1996,3,2,1,1
18,shanghai,东南新村(浦东),121.5230669786132,31.23100989561768,浦东,107104140010,4120000.0,85584,Middle,48.14,Flat,Plate,Brick/Concrete,Simplicity,No,1980,2,1,1,1
19,shanghai,金都雅苑,121.453345445609,30.996134589927895,奉贤,107104225999,2530000.0,25657,High,98.61,Flat,Plate,Steel/Concrete,Simplicity,No,2005,2,2,1,1
20,shanghai,海浒新村,121.36160626489418,30.72575733309916,金山,107104143526,1160000.0,15284,Middle,75.9,Flat,Plate,Brick/Concrete,Simplicity,No,1994,3,2,1,1
21,shanghai,聚缘北庭,121.55148810732119,31.051631917261066,闵行,107104186142,2900000.0,38724,High,74.89,Flat,Plate,Steel/Concrete,Hardcover,Yes,2013,2,2,1,1
22,shanghai,城中花园,121.35285649973532,31.16448020486374,浦东,107104123895,5600000.0,59600,High,93.96,Flat,Plate,Steel/Concrete,Hardcover,Yes,2005,2,2,1,1
24,shanghai,临园小区,121.70566149725161,31.198025830086443,浦东,107104176091,2280000.0,42890,Middle,53.16,Flat,Plate,Mixed,Simplicity,No,1983,2,1,1,1
25,shanghai,新德五村,121.69745709336789,31.202850186963545,浦东,107103731498,2700000.0,39137,High,68.99,Flat,Plate,Mixed,Hardcover,No,1994,2,1,0,1
