0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
谈家港花苑一村,闵行,107104391304,330,33123元/平米,2006年建/板楼,2室2厅1厨1卫,低楼层 (共6层),99.63㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯两户,无,2021-08-30,商品房,2008-05-04,普通住宅,满五年,共有,无抵押,已上传房本照片,"码
202101317337





查询房管备案记录",,,
绿地东岸涟城,浦东,107104354107,725,31859元/平米,2009年建/板楼,4室2厅1厨3卫,低楼层 (共4层),227.57㎡,复式,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,无,2021-08-21,商品房,2014-02-13,普通住宅,满五年,非共有,有抵押 152万元 银行正常贷款 业主自还,已上传房本照片,"码
202101255462





查询房管备案记录",,,
绿地金卫新家园（东区）,金山,107104357967,155,15611元/平米,2009年建/板楼,2室2厅1厨1卫,低楼层 (共6层),99.29㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯三户,无,2021-08-22,商品房,2010-04-02,普通住宅,满五年,共有,无抵押,已上传房本照片,"码
202101266334





查询房管备案记录",,,
浦江馨都,闵行,107104380708,410,42914元/平米,2013年建/板楼,3室1厅1厨1卫,低楼层 (共17层),95.54㎡,平层,76.71㎡,板楼,南 北,钢混结构,精装,一梯三户,有,2021-08-28,动迁安置房,2014-08-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,"码
202101294479





查询房管备案记录",,,
虹浦新城南区,闵行,107104392540,320,41602元/平米,2008年建/板楼,2室1厅1厨1卫,低楼层 (共11层),76.92㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯三户,有,2021-08-31,商品房,2009-09-23,普通住宅,满五年,共有,无抵押,已上传房本照片,"码
202101310982





查询房管备案记录",,,
上浦小区,浦东,107104374552,360,39259元/平米,1993年建/板楼,3室1厅1厨1卫,高楼层 (共6层),91.7㎡,平层,80㎡,板楼,南,砖混结构,毛坯,一梯两户,无,2021-08-26,商品房,2012-04-10,普通住宅,满五年,共有,无抵押,已上传房本照片,"码
202101291383





查询房管备案记录",,,
新南家园,奉贤,107104304015,267,27019元/平米,2002年建/板楼,3室2厅1厨1卫,高楼层 (共6层),98.82㎡,平层,暂无数据,板楼,南,钢混结构,简装,一梯两户,无,2021-08-08,商品房,2012-06-13,普通住宅,未满两年,非共有,无抵押,已上传房本照片,"码
202101207125





查询房管备案记录",,,
绿地东岸涟城,浦东,107104205374,550,28836元/平米,未知年建/板楼,5室2厅2厨3卫,高楼层 (共12层),190.74㎡,复式,暂无数据,板楼,南 北,钢混结构,毛坯,一梯两户,有,2021-07-12,商品房,2011-01-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,"码
202101064783





查询房管备案记录",,,
山鑫联城花苑,金山,107104122880,190,13029元/平米,2004年建/板楼,4室2厅1厨2卫,低楼层 (共6层),145.83㎡,平层,暂无数据,板楼,南,钢混结构,简装,一梯两户,无,2021-06-20,商品房,2016-04-06,普通住宅,满五年,共有,无抵押,已上传房本照片,"码
202101001012





查询房管备案记录",,,
川沙公寓,浦东,107104288846,580,42253元/平米,2004年建/板楼,3室2厅1厨2卫,低楼层 (共6层),137.27㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,无,2021-08-05,商品房,2005-05-13,普通住宅,未满两年,非共有,无抵押,已上传房本照片,"码
202101201204





查询房管备案记录",,,
正荣御首府,金山,107104349896,257,22992元/平米,未知年建/板楼,3室2厅1厨1卫,中楼层 (共11层),111.78㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,有,2021-08-20,商品房,2017-03-14,普通住宅,满两年,共有,无抵押,已上传房本照片,"码
202101003302





查询房管备案记录",,,
海韵馨苑,奉贤,107104376808,152,11658元/平米,2009年建/板楼,3室2厅1厨2卫,中楼层 (共5层),130.39㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,一梯两户,无,2021-08-27,商品房,2012-03-27,普通住宅,满五年,共有,有抵押 90万元,已上传房本照片,"码
202101293520





查询房管备案记录",,,
听潮六村,浦东,107104369538,235,25740元/平米,1995年建/板楼,2室2厅1厨1卫,低楼层 (共6层),91.3㎡,平层,暂无数据,板楼,南,砖混结构,毛坯,一梯两户,无,2021-08-25,商品房,2019-08-18,普通住宅,满两年,非共有,无抵押,已上传房本照片,"码
202101289203





查询房管备案记录",,,
保利铃兰公馆,浦东,107104097465,468,52029元/平米,2018年建/板楼,3室2厅1厨2卫,低楼层 (共8层),89.95㎡,平层,74.21㎡,板楼,南,钢混结构,精装,一梯两户,有,2021-06-14,商品房,2019-08-03,普通住宅,满两年,非共有,有抵押 40万公积金 客户偿还,已上传房本照片,"码
202100956498





查询房管备案记录",,,
